ID,Name,Gender,"Civil Status",State,Department
10140,"Ren, Kylo",MALE,Married,ID,Sales
10145,"Mckenna, Sandy",FEMALE,Married,MA,"Production       "
10146,"Tejeda, Lenora ",FEMALE,Married,MA,"Production       "
10148,"Panjwani, Nina",FEMALE,Married,MA,"Production       "
10151,"Morway, Tanya",FEMALE,Married,MA,IT/IS
10153,"Smith, Leigh Ann",FEMALE,Married,MA,"Admin Offices"
10156,"Johnson, Noelle ",FEMALE,Married,MA,IT/IS
10158,"Sullivan, Kissy ",FEMALE,Married,MA,"Production       "
10159,"Gentry, Mildred",FEMALE,Married,MA,"Production       "
10162,"Roby, Lori ",FEMALE,Married,MA,IT/IS
10163,"Foreman, Tanya",FEMALE,Married,MA,"Production       "
10166,"Kinsella, Kathleen  ",FEMALE,Married,MA,"Production       "
10167,"Hitchcock, Alfred",MALE,Married,NH,Sales
10169,"Sander, Kamrin",FEMALE,Married,MA,"Production       "
10170,"Kirill, Alexandra  ",FEMALE,Married,MA,"Production       "
10173,"Tannen, Biff",MALE,Married,MA,IT/IS
10176,"Kretschmer, John",MALE,Married,MA,"Production       "
10177,"Brill, Donna",FEMALE,Married,MA,"Production       "
10178,"Simard, Kramer",MALE,Married,MA,IT/IS
10179,"Shepard, Anita ",FEMALE,Married,MA,IT/IS
10180,"Soze, Keyser",MALE,Married,MA,IT/IS
10181,"Burkett, Benjamin ",MALE,Married,MA,"Production       "
10182,"Howard, Estelle",FEMALE,Married,MA,"Admin Offices"
10185,"Ndzi, Horia",MALE,Married,MA,"Production       "
10186,"Linares, Marilyn ",FEMALE,Married,MA,"Production       "
10188,"Bunbury, Jessica",FEMALE,Married,VA,Sales
10189,"Ferguson, Susan",FEMALE,Married,MA,"Production       "
10193,"Costello, Frank",MALE,Married,MA,IT/IS
10195,"Homberger, Adrienne  J",FEMALE,Married,MA,"Production       "
10196,"Akinkuolie, Sarah",FEMALE,Married,MA,"Production       "
10202,"McKinzie, Jac",MALE,Married,TX,Sales
10205,"Valentin,Jackie",FEMALE,Married,AZ,Sales
10211,"Dunne, Amy",FEMALE,Married,MA,"Production       "
10212,"Daniele, Ann  ",FEMALE,Married,CT,IT/IS
10213,"Monkfish, Erasumus",MALE,Married,MA,"Production       "
10217,"Petingill, Shana  ",FEMALE,Married,MA,"Production       "
10221,"Tavares, Desiree  ",FEMALE,Married,MA,"Production       "
10224,"Robertson, Peter",MALE,Married,MA,"Production       "
10228,"Goeth, Amon",MALE,Married,MA,IT/IS
10233,"Sahoo, Adil",MALE,Married,MA,"Production       "
10234,"Gruber, Hans",MALE,Married,MA,IT/IS
10235,"England, Rex",MALE,Married,MA,"Production       "
10237,"Good, Susan",FEMALE,Married,MA,"Production       "
10238,"Brown, Mia",FEMALE,Married,MA,"Admin Offices"
10239,"Rachael, Maggie",FEMALE,Married,MA,IT/IS
10241,"Strong, Caitrin",FEMALE,Married,MT,Sales
10242,"Barbara, Thomas",MALE,Married,MA,"Production       "
10249,"Latif, Mohammed",MALE,Married,MA,"Production       "
10251,"Lecter, Hannibal",MALE,Married,MA,"Production       "
10252,"Baczenski, Rachael  ",FEMALE,Married,MA,"Production       "
10256,"Goyal, Roxana",FEMALE,Married,MA,"Production       "
10259,"Pearson, Randall",MALE,Married,MA,IT/IS
10263,"Faller, Megan ",FEMALE,Married,MA,"Production       "
10266,"Stoica, Rick",MALE,Married,MA,"Production       "
10269,"Close, Phil",MALE,Married,MA,"Production       "
10272,"Houlihan, Debra",FEMALE,Married,RI,Sales
10274,"Wallace, Courtney  E",FEMALE,Married,MA,"Production       "
10275,"Cloninger, Jennifer",FEMALE,Married,MA,"Production       "
10279,"Mangal, Debbie",FEMALE,Married,MA,"Production       "
10283,"Gilles, Alex",MALE,Married,MA,"Production       "
10284,"DiNocco, Lily ",FEMALE,Married,MA,"Production       "
10285,"Robinson, Cherly",FEMALE,Married,MA,"Production       "
10288,"Monroe, Peter",MALE,Married,MA,IT/IS
10289,"Immediato, Walter",MALE,Married,MA,"Production       "
10290,"Exantus, Susan",FEMALE,Married,MA,"Software Engineering"
10297,"Pelletier, Ermine",FEMALE,Married,MA,"Production       "
10300,"Gonzalez, Juan",MALE,Married,MA,"Production       "
10302,"Sparks, Taylor  ",FEMALE,Married,MA,"Production       "
10305,"Forrest, Alex",MALE,Married,MA,Sales
10307,"Stansfield, Norman",MALE,Married,NV,Sales
10308,"Fernandes, Nilson  ",MALE,Married,MA,"Production       "
10310,"Desimone, Carl ",MALE,Married,MA,"Production       "
10311,"Dee, Randy",MALE,Married,MA,"Production       "
