EmpID,Employee_Name,MaritalStatusID,GenderID,Salary,Termd,PositionID,State,DOB,DateofHire,DateofTermination,Department,ManagerID,PerformanceScore,EngagementSurvey
10139,"Ivey, Rose ",0,0,51908,0,19,MA,33266,41505,,Production       ,12,Fully Meets,3.99
10227,"Jackson, Maryellen",0,0,61242,0,19,MA,26553,41218,,Production       ,14,Fully Meets,4.1
10236,"Jacobi, Hannah  ",2,0,45069,0,19,MA,24188,41547,,Production       ,20,Fully Meets,4.3
10009,"Jeannite, Tayana",2,0,60724,0,20,MA,31722,40729,,Production       ,19,Exceeds,4.6
10060,"Jhaveri, Sneha  ",3,0,60436,0,19,MA,23480,41645,,Production       ,18,Fully Meets,5
10034,"Johnson, George",1,1,46837,1,19,MA,21781,40854,43219,Production       ,22,Exceeds,4.7
10156,"Johnson, Noelle ",1,0,105700,0,8,MA,31723,42009,,IT/IS,4,Fully Meets,3.75
10036,"Johnston, Yen",0,0,63322,0,20,MA,25454,41827,,Production       ,12,Exceeds,4.3
10138,"Jung, Judy  ",1,0,61154,1,19,MA,31519,40553,42461,Production       ,16,Fully Meets,4
10244,"Kampew, Donysha",0,0,68999,1,21,PA,32823,40854,41753,Sales,15,Fully Meets,4.5
10192,"Keatts, Kramer ",0,1,50482,0,19,MA,27778,41547,,Production       ,22,Fully Meets,3.07
10231,"Khemmich, Bartholemew",0,1,65310,0,3,CO,29186,41505,,Sales,21,Fully Meets,4.3
10089,"King, Janet",1,0,250000,0,16,MA,19988,41092,,Executive Office,9,Fully Meets,4.83
10166,"Kinsella, Kathleen  ",1,0,54005,1,19,MA,27006,40812,42159,Production       ,39,Fully Meets,3.6
10170,"Kirill, Alexandra  ",1,0,45433,1,19,MA,25849,40812,41648,Production       ,11,Fully Meets,3.49
10208,"Knapp, Bradley  J",0,1,46654,0,19,MA,28439,41687,,Production       ,19,Fully Meets,3.1
10176,"Kretschmer, John",1,1,63973,0,19,MA,29253,40553,,Production       ,12,Fully Meets,3.38
10165,"Kreuger, Freddy",0,1,71339,0,3,NY,25258,40609,,Sales,17,Fully Meets,3.65
10113,"Lajiri,  Jyoti",1,1,93206,0,28,MA,31525,41953,,IT/IS,7,Fully Meets,4.46
10092,"Landa, Hans",1,1,82758,1,18,MA,26481,40553,42350,Production       ,2,Fully Meets,4.78
10106,"Langford, Lindsey",2,0,66074,1,20,MA,29061,41281,41729,Production       ,14,Fully Meets,4.52
10052,"Langton, Enrico",1,1,46120,0,19,MA,31755,41099,,Production       ,14,Fully Meets,5
10038,"LaRotonda, William  ",2,1,64520,0,1,MA,30798,41645,,Admin Offices,1,Fully Meets,5
10249,"Latif, Mohammed",1,1,61962,1,20,MA,30811,41001,41379,Production       ,20,Fully Meets,4.9
10232,"Le, Binh",0,0,81584,0,22,MA,31942,42645,,IT/IS,13,Fully Meets,4.1
10087,"Leach, Dallas",0,0,63676,1,19,MA,28872,40812,43331,Production       ,20,Fully Meets,4.88
10134,"LeBlanc, Brandon  R",1,1,93046,0,23,MA,30843,42374,,Admin Offices,2,Fully Meets,4.1
10251,"Lecter, Hannibal",1,1,64738,0,19,MA,30196,41043,,Production       ,16,Fully Meets,4.1
10103,"Leruth, Giovanni",3,1,70468,0,3,UT,32504,41029,,Sales,17,Fully Meets,4.53
10017,"Liebig, Ketsia",1,0,77915,0,18,MA,29885,41547,,Production       ,2,Exceeds,4.1
10186,"Linares, Marilyn ",1,0,52624,1,19,MA,29671,40729,43369,Production       ,22,Fully Meets,3.18
10137,"Linden, Mathew",1,1,63450,0,20,MA,28933,41463,,Production       ,18,Fully Meets,4
10008,"Lindsay, Leonara ",0,0,51777,0,14,CT,32421,40564,,IT/IS,6,Exceeds,4.64
10096,"Lundy, Susan",4,0,67237,1,20,MA,28120,41463,42628,Production       ,22,Fully Meets,4.65
10035,"Lunquist, Lisa",0,0,73330,0,20,MA,30038,41505,,Production       ,16,Exceeds,4.2
10057,"Lydon, Allison",1,0,52057,0,19,MA,27689,42051,,Production       ,16,Fully Meets,5
10004,"Lynch, Lindsay",0,0,47434,1,19,MA,26709,40854,42322,Production       ,39,Exceeds,5
10191,"MacLennan, Samuel",4,1,52788,1,19,MA,26612,41176,43004,Production       ,11,Fully Meets,3.08
10219,"Mahoney, Lauren  ",0,0,45395,0,19,MA,31600,41645,,Production       ,19,Fully Meets,4.6
10077,"Manchester, Robyn",1,0,62385,0,20,MA,27997,42501,,Production       ,40,Fully Meets,5
10073,"Mancuso, Karen",1,0,68407,1,20,MA,31756,40729,41140,Production       ,11,Fully Meets,5
10279,"Mangal, Debbie",1,0,61349,0,19,MA,27340,41589,,Production       ,12,Fully Meets,4.1
10110,"Martin, Sandra",0,0,105688,0,24,MA,32088,41589,,Software Engineering,10,Fully Meets,4.5
10053,"Maurice, Shana",1,0,54132,0,19,MA,28451,40694,,Production       ,14,Fully Meets,5
10076,"Carthy, B'rigit",0,0,55315,0,20,MA,31918,42093,,Production       ,19,Fully Meets,5
10145,"Mckenna, Sandy",1,0,62810,0,19,MA,31784,41281,,Production       ,20,Fully Meets,3.93
10202,"McKinzie, Jac",1,1,63291,0,3,TX,30864,42557,,Sales,21,Fully Meets,3.4
10128,"Meads, Elizabeth",0,0,62659,1,19,MA,24988,41001,42685,Production       ,18,Fully Meets,4.18
10068,"Medeiros, Jennifer",0,0,55688,0,19,MA,28025,42093,,Production       ,22,Fully Meets,5
10116,"Miller, Brannon",0,1,83667,0,18,MA,29808,41137,,Production       ,2,Fully Meets,4.37
10298,"Miller, Ned",0,1,55800,1,20,MA,31227,40770,41886,Production       ,12,PIP,3
10213,"Monkfish, Erasumus",1,1,58207,0,20,MA,33833,40854,,Production       ,14,Fully Meets,3.7
10288,"Monroe, Peter",1,1,157000,0,13,MA,31690,40954,,IT/IS,5,Needs Improvement,2.39
10025,"Monterro, Luisa",0,0,72460,0,20,MA,25682,41407,,Production       ,20,Exceeds,4.7
10223,"Moran, Patrick",0,1,72106,0,20,MA,28097,40917,,Production       ,18,Fully Meets,4.1
10151,"Morway, Tanya",1,0,52599,0,15,MA,28949,42051,,IT/IS,7,Fully Meets,3.81
10254,"Motlagh,  Dawn",2,0,63430,0,19,MA,30870,41365,,Production       ,16,Fully Meets,4.4
10120,"Moumanil, Maliki ",3,1,74417,0,20,MA,27364,41407,,Production       ,22,Fully Meets,4.29
10216,"Myers, Michael",0,1,57575,0,19,MA,29329,41463,,Production       ,20,Fully Meets,4.1
10079,"Navathe, Kurt",0,1,87921,0,22,MA,25683,42776,,IT/IS,13,Fully Meets,5
10215,"Ndzi, Colombui",0,1,50470,1,19,MA,32630,40812,41733,Production       ,39,Fully Meets,4.3
10185,"Ndzi, Horia",1,1,46664,1,19,MA,30403,41365,42515,Production       ,11,Fully Meets,3.18
10063,"Newman, Richard ",1,1,48495,0,19,MA,28223,41771,,Production       ,19,Fully Meets,5
10037,"Ngodup, Shari ",3,0,52984,0,19,MA,24626,41365,,Production       ,12,Exceeds,4
10042,"Nguyen, Dheepa",0,0,63695,0,3,GA,32598,41463,,Sales,21,Fully Meets,5
10206,"Nguyen, Lei-Ming",0,0,62061,0,19,MA,30870,41463,,Production       ,14,Fully Meets,3.6
10104,"Nowlan, Kristie",0,0,66738,0,20,MA,31374,41953,,Production       ,16,Fully Meets,4.53
10303,"O'hare, Lynn",0,0,52674,1,19,MA,29494,41729,43221,Production       ,20,PIP,2.33
10078,"Oliver, Brooke ",1,0,71966,1,20,MA,19035,41043,41505,Production       ,39,Fully Meets,5
10121,"Onque, Jasmine",0,0,63051,0,3,FL,33004,41547,,Sales,21,Fully Meets,4.28
10021,"Osturnka, Adeel",1,1,47414,0,19,MA,28105,41547,,Production       ,18,Exceeds,5
10281,"Owad, Clinton",0,1,53060,0,19,MA,29183,41687,,Production       ,22,Needs Improvement,4.25
10041,"Ozark, Travis",0,1,68829,0,3,NC,30090,42009,,Sales,17,Fully Meets,5
10148,"Panjwani, Nina",1,0,63515,1,19,MA,28976,40581,41651,Production       ,16,Fully Meets,3.89
10005,"Patronick, Lucas",0,1,108987,1,24,MA,28906,40854,42254,Software Engineering,10,Exceeds,5
10259,"Pearson, Randall",1,1,93093,1,9,MA,30930,41974,42491,IT/IS,4,Fully Meets,4.7
10286,"Smith, Martin",0,1,53564,1,19,MA,32219,40553,43097,Production       ,39,Needs Improvement,3.54
10297,"Pelletier, Ermine",1,0,60270,1,20,MA,32707,40729,42262,Production       ,11,Needs Improvement,2.4
10171,"Perry, Shakira",0,0,45998,1,19,MA,31613,40679,42302,Production       ,11,Fully Meets,3.45
10032,"Peters, Lauren",1,0,57954,1,20,MA,31641,40679,41309,Production       ,19,Exceeds,4.2
10130,"Peterson, Ebonee  ",1,0,74669,1,18,MA,28254,40476,42508,Production       ,2,Fully Meets,4.16
10217,"Petingill, Shana  ",1,0,74226,0,20,MA,28924,41001,,Production       ,12,Fully Meets,4.3
10016,"Petrowsky, Thelma",1,0,93554,0,9,MA,30941,41953,,IT/IS,4,Exceeds,4.6
10050,"Pham, Hong",1,1,64724,1,19,MA,32208,40729,41243,Production       ,12,Fully Meets,5
10164,"Pitt, Brad ",0,1,47001,0,19,MA,29913,39391,,Production       ,14,Fully Meets,3.66
10124,"Potts, Xana",1,0,61844,0,3,KY,32384,40917,,Sales,21,Fully Meets,4.2
10187,"Power, Morissa",2,0,46799,1,19,MA,30970,40679,43255,Production       ,20,Fully Meets,3.17
10225,"Punjabhi, Louis  ",0,1,59472,0,19,MA,22451,41645,,Production       ,18,Fully Meets,4.8
10262,"Purinton, Janine",2,0,46430,1,19,MA,25833,41176,41443,Production       ,20,Fully Meets,4.5
10131,"Quinn, Sean",1,1,83363,1,23,MA,30992,40595,42231,Software Engineering,2,Fully Meets,4.15
10239,"Rachael, Maggie",1,0,95920,0,4,MA,29353,42645,,IT/IS,13,Fully Meets,4.4
10152,"Rarrick, Quinn",2,1,61729,1,19,MA,31047,40812,43197,Production       ,22,Fully Meets,3.8
10140,"Ren, Kylo",1,1,61809,0,3,ID,20009,41771,,Sales,17,Fully Meets,3.98
10058,"Rhoads, Thomas",2,1,45115,1,19,MA,30154,40679,42384,Production       ,16,Fully Meets,5
10011,"Rivera, Haley  ",1,0,46738,0,19,MA,26676,40875,,Production       ,40,Exceeds,4.36
10230,"Roberson, May",2,0,64971,1,20,MA,29834,40812,40838,Production       ,14,Fully Meets,4.5
10224,"Robertson, Peter",1,1,55578,1,20,MA,26483,40729,40947,Production       ,20,Fully Meets,4.2
10047,"Robinson, Alain  ",1,1,50428,1,19,MA,27036,40553,42395,Production       ,11,Fully Meets,5
10285,"Robinson, Cherly",1,0,61422,1,19,MA,31054,40553,42507,Production       ,19,Needs Improvement,3.6
10020,"Robinson, Elias",4,1,63353,0,19,MA,31075,41463,,Production       ,12,Exceeds,3.6
10162,"Roby, Lori ",1,0,89883,0,9,MA,29870,42051,,IT/IS,4,Fully Meets,3.69
10149,"Roehrich, Bianca",0,0,120000,1,29,MA,26811,42009,43414,IT/IS,4,Fully Meets,3.88
10086,"Roper, Katie",0,0,150290,0,7,MA,26624,42742,,IT/IS,13,Fully Meets,4.94
10054,"Rose, Ashley  ",3,0,60627,0,19,MA,27368,41645,,Production       ,14,Fully Meets,5
10065,"Rossetti, Bruno",0,1,53180,1,19,MA,31854,40637,43325,Production       ,20,Fully Meets,5
10198,"Roup,Simon",0,1,140920,0,13,MA,26759,41294,,IT/IS,5,Fully Meets,3.6
10222,"Ruiz, Ricardo",2,1,148999,1,13,MA,23380,40917,42312,IT/IS,5,Fully Meets,4.3
10126,"Saada, Adell",1,0,86214,0,24,MA,31617,41218,,Software Engineering,10,Fully Meets,4.2
10295,"Saar-Beckles, Melinda",0,0,47750,0,19,MA,24995,42555,,Production       ,18,Needs Improvement,2.6
10260,"Sadki, Nore  ",0,1,46428,1,19,MA,27384,39818,43311,Production       ,22,Fully Meets,4.6
10233,"Sahoo, Adil",1,1,57975,0,20,MA,31528,40420,,Production       ,18,Fully Meets,4.1
10229,"Salter, Jason",2,1,88527,1,9,MA,32128,42009,42308,IT/IS,4,Fully Meets,4.2
10169,"Sander, Kamrin",1,0,56147,0,19,MA,32334,41911,,Production       ,16,Fully Meets,3.51
10071,"Sewkumar, Nori",0,0,50923,0,19,MA,27463,41547,,Production       ,40,Fully Meets,5
10179,"Shepard, Anita ",1,0,50750,0,15,MA,29690,41912,,IT/IS,7,Fully Meets,3.31
10091,"Shields, Seffi",1,0,52087,0,19,MA,31283,41505,,Production       ,11,Fully Meets,4.81
10178,"Simard, Kramer",1,1,87826,0,9,MA,25607,42009,,IT/IS,4,Fully Meets,3.32
10039,"Singh, Nan ",0,0,51920,0,2,MA,32282,42125,,Admin Offices,1,Fully Meets,5
10095,"Sloan, Constance",0,0,63878,1,20,MA,32106,40112,42102,Production       ,22,Fully Meets,4.68
10027,"Smith, Joe",0,1,60656,0,20,MA,23314,41911,,Production       ,16,Exceeds,4.3
10291,"Smith, John",2,1,72992,0,21,MA,30910,41777,,Sales,15,Needs Improvement,2.4
